NUM_CLIENTS,NUM_ROUNDS,BATCH_SIZE,NOISE_MULTIPLIER,EVAL_RATIO,ACCURACY
2,5,32,0.4,0.1,0.1072
2,5,32,0.4,0.1,0.066
2,5,32,0.4,0.1,0.0872
2,5,32,0.4,0.3,0.1006
2,5,32,0.4,0.3,0.0952
2,5,32,0.4,0.3,0.0922
2,5,32,0.4,0.3,0.0942
2,5,32,0.4,0.3,0.0984
2,5,32,0.4,0.75,0.1358
2,5,32,0.4,0.75,0.1086
2,5,32,0.4,0.75,0.1264
2,5,32,0.4,0.75,0.1312
2,5,32,0.4,0.75,0.1506
2,5,32,0.4,0.9,0.1004
2,5,32,0.4,0.9,0.1006
2,5,32,0.4,0.9,0.101
2,5,32,0.4,0.9,0.092
2,5,32,0.4,0.9,0.092
2,5,32,0.4,1,0.0959
2,5,32,0.4,1,0.0808
2,5,32,0.4,1,0.09749999999999999
2,5,32,0.4,1,0.10609999999999999
2,5,32,0.4,1,0.0912
2,5,32,1.1,0.1,0.109
2,5,32,1.1,0.1,0.0984
2,5,32,1.1,0.1,0.0852
2,5,32,1.1,0.1,0.0978
2,5,32,1.1,0.1,0.1074
2,5,32,1.1,0.3,0.0938
2,5,32,1.1,0.3,0.0906
2,5,32,1.1,0.3,0.0812
2,5,32,1.1,0.3,0.102
2,5,32,1.1,0.3,0.0888
2,5,32,1.1,0.75,0.089
2,5,32,1.1,0.75,0.1008
2,5,32,1.1,0.75,0.10440000000000002
2,5,32,1.1,0.75,0.1038
2,5,32,1.1,0.75,0.0994
2,5,32,1.1,0.9,0.1054
2,5,32,1.1,0.9,0.0998
2,5,32,1.1,0.9,0.1002
2,5,32,1.1,0.9,0.0956
2,5,32,1.1,0.9,0.0904
2,5,32,1.1,1,0.09910000000000001
2,5,32,1.1,1,0.12259999999999999
2,5,32,1.1,1,0.10070000000000001
2,5,32,1.1,1,0.1002
2,5,32,1.1,1,0.11460000000000001
2,5,32,1.5,0.1,0.0976
2,5,32,1.5,0.1,0.1088
2,5,32,1.5,0.1,0.11699999999999999
2,5,32,1.5,0.1,0.1046
2,5,32,1.5,0.1,0.1098
2,5,32,1.5,0.3,0.129
2,5,32,1.5,0.3,0.1006
2,5,32,1.5,0.3,0.0974
2,5,32,1.5,0.3,0.0942
2,5,32,1.5,0.3,0.1076
2,5,32,1.5,0.75,0.0924
2,5,32,1.5,0.75,0.0866
2,5,32,1.5,0.75,0.0984
2,5,32,1.5,0.75,0.1
2,5,32,1.5,0.75,0.1012
2,5,32,1.5,0.9,0.1014
2,5,32,1.5,0.9,0.1004
2,5,32,1.5,0.9,0.089
2,5,32,1.5,0.9,0.0784
2,5,32,1.5,0.9,0.082
2,5,32,1.5,1,0.12689999999999999
2,5,32,1.5,1,0.11980000000000002
2,5,32,1.5,1,0.1125
2,5,32,1.5,1,0.0872
2,5,32,1.5,1,0.0954
2,5,32,2.5,0.1,0.0936
2,5,32,2.5,0.1,0.1036
2,5,32,2.5,0.1,0.1246
2,5,32,2.5,0.1,0.1042
2,5,32,2.5,0.1,0.0804
2,5,32,2.5,0.3,0.1084
2,5,32,2.5,0.3,0.11980000000000002
2,5,32,2.5,0.3,0.1318
2,5,32,2.5,0.3,0.10340000000000002
2,5,32,2.5,0.3,0.0914
2,5,32,2.5,0.75,0.1
2,5,32,2.5,0.75,0.113
2,5,32,2.5,0.75,0.1058
2,5,32,2.5,0.75,0.10240000000000002
2,5,32,2.5,0.75,0.1186
2,5,32,2.5,0.9,0.0832
2,5,32,2.5,0.9,0.1016
2,5,32,2.5,0.9,0.0686
2,5,32,2.5,0.9,0.0718
2,5,32,2.5,0.9,0.0732
2,5,32,2.5,1,0.1104
2,5,32,2.5,1,0.12290000000000001
2,5,32,2.5,1,0.10969999999999999
2,5,32,2.5,1,0.1066
2,5,32,2.5,1,0.1054
2,5,32,4,0.1,0.0984
2,5,32,4,0.1,0.079
2,5,32,4,0.1,0.0722
2,5,32,4,0.1,0.0878
2,5,32,4,0.1,0.103
2,5,32,4,0.3,0.1012
2,5,32,4,0.3,0.0986
2,5,32,4,0.3,0.0996
2,5,32,4,0.3,0.0988
2,5,32,4,0.3,0.0932
2,5,32,4,0.75,0.098
2,5,32,4,0.75,0.11339999999999999
2,5,32,4,0.75,0.11520000000000001
2,5,32,4,0.75,0.0986
2,5,32,4,0.75,0.0986
2,5,32,4,0.9,0.0948
2,5,32,4,0.9,0.0908
2,5,32,4,0.9,0.108
2,5,32,4,0.9,0.0986
2,5,32,4,0.9,0.0998
2,5,32,4,1,0.0896
2,5,32,4,1,0.0872
2,5,32,4,1,0.09480000000000001
2,5,32,4,1,0.0925
2,5,32,4,1,0.09369999999999999
2,5,64,0.1,0.1,0.1004
2,5,64,0.1,0.1,0.1226
2,5,64,0.1,0.1,0.12460000000000002
2,5,64,0.1,0.1,0.1254
2,5,64,0.1,0.1,0.1266
2,5,64,0.1,0.3,0.0916
2,5,64,0.1,0.3,0.1064
2,5,64,0.1,0.3,0.1124
2,5,64,0.1,0.3,0.1198
2,5,64,0.1,0.3,0.1256
2,5,64,0.1,0.75,0.094
2,5,64,0.1,0.75,0.094
2,5,64,0.1,0.75,0.094
2,5,64,0.1,0.75,0.0934
2,5,64,0.1,0.75,0.0934
2,5,64,0.1,0.9,0.0782
2,5,64,0.1,0.9,0.0802
2,5,64,0.1,0.9,0.0836
2,5,64,0.1,0.9,0.0836
2,5,64,0.1,0.9,0.0862
2,5,64,0.1,1,0.1068
2,5,64,0.1,1,0.1082
2,5,64,0.1,1,0.11050000000000001
2,5,64,0.1,1,0.1135
2,5,64,0.1,1,0.11419999999999998
2,5,64,0.4,0.1,0.10740000000000001
2,5,64,0.4,0.1,0.1012
2,5,64,0.4,0.1,0.12180000000000002
2,5,64,0.4,0.1,0.0946
2,5,64,0.4,0.1,0.1248
2,5,64,0.4,0.3,0.1
2,5,64,0.4,0.3,0.1
2,5,64,0.4,0.3,0.0976
2,5,64,0.4,0.3,0.1
2,5,64,0.4,0.3,0.0976
2,5,64,0.4,0.75,0.097
2,5,64,0.4,0.75,0.0952
2,5,64,0.4,0.75,0.0946
2,5,64,0.4,0.75,0.0936
2,5,64,0.4,0.75,0.0944
2,5,64,0.4,0.9,0.0966
2,5,64,0.4,0.9,0.1026
2,5,64,0.4,0.9,0.1176
2,5,64,0.4,0.9,0.1066
2,5,64,0.4,0.9,0.1274
2,5,64,0.4,1,0.10369999999999999
2,5,64,0.4,1,0.10369999999999999
2,5,64,0.4,1,0.10369999999999999
2,5,64,0.4,1,0.10369999999999999
2,5,64,0.4,1,0.10369999999999999
2,5,64,1.1,0.1,0.1042
2,5,64,1.1,0.1,0.078
2,5,64,1.1,0.1,0.0942
2,5,64,1.1,0.1,0.102
2,5,64,1.1,0.1,0.101
2,5,64,1.1,0.3,0.098
2,5,64,1.1,0.3,0.0922
2,5,64,1.1,0.3,0.0964
2,5,64,1.1,0.3,0.092
2,5,64,1.1,0.3,0.0964
2,5,64,1.1,0.75,0.1
2,5,64,1.1,0.75,0.11139999999999999
2,5,64,1.1,0.75,0.0992
2,5,64,1.1,0.75,0.10460000000000001
2,5,64,1.1,0.75,0.1012
2,5,64,1.1,0.9,0.0972
2,5,64,1.1,0.9,0.089
2,5,64,1.1,0.9,0.0758
2,5,64,1.1,0.9,0.091
2,5,64,1.1,0.9,0.0736
2,5,64,1.1,1,0.08339999999999999
2,5,64,1.1,1,0.0938
2,5,64,1.1,1,0.09
2,5,64,1.1,1,0.0994
2,5,64,1.1,1,0.097
2,5,64,1.5,0.1,0.1012
2,5,64,1.5,0.1,0.099
2,5,64,1.5,0.1,0.0846
2,5,64,1.5,0.1,0.10979999999999998
2,5,64,1.5,0.1,0.0928
2,5,64,1.5,0.3,0.11439999999999999
2,5,64,1.5,0.3,0.0968
2,5,64,1.5,0.3,0.092
2,5,64,1.5,0.3,0.10479999999999999
2,5,64,1.5,0.3,0.10740000000000001
2,5,64,1.5,0.75,0.107
2,5,64,1.5,0.75,0.0912
2,5,64,1.5,0.75,0.09
2,5,64,1.5,0.75,0.1004
2,5,64,1.5,0.75,0.1064
2,5,64,1.5,0.9,0.0976
2,5,64,1.5,0.9,0.10920000000000002
2,5,64,1.5,0.9,0.1038
2,5,64,1.5,0.9,0.0986
2,5,64,1.5,0.9,0.0984
2,5,64,1.5,1,0.0977
2,5,64,1.5,1,0.1039
2,5,64,1.5,1,0.1055
2,5,64,1.5,1,0.10479999999999999
2,5,64,1.5,1,0.1047
2,5,64,2.5,0.1,0.1146
2,5,64,2.5,0.1,0.1292
2,5,64,2.5,0.1,0.1404
2,5,64,2.5,0.1,0.1318
2,5,64,2.5,0.1,0.108
2,5,64,2.5,0.3,0.10620000000000002
2,5,64,2.5,0.3,0.0942
2,5,64,2.5,0.3,0.0908
2,5,64,2.5,0.3,0.1042
2,5,64,2.5,0.3,0.0924
2,5,64,2.5,0.75,0.0814
2,5,64,2.5,0.75,0.1012
